Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Neversink Reservoir"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Neversink Reservoir","Increase in Storage for Neversink Reservoir","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
11/22/2003,3337.32, ,1289443,-16410.4,-1276370
11/23/2003,314202, ,967723,-16683.1,-1265240
11/24/2003, ,-174032,1456287,-17013.2,-1265240
11/25/2003,355281, ,860372,64587.7,-1280240
11/26/2003,604080, ,692365,-12575.1,-1283870
11/27/2003,710589, ,575113,-9331.97,-1276370
11/28/2003, ,-2179780,3445420,10728.5,-1276370
11/29/2003, ,-547100,1469593,357748,-1280240
11/30/2003,145252, ,1134515,-3397.13,-1276370
12/1/2003, ,-895319,943072,-10255.4,-37497.6
12/2/2003, ,-752784,760663,-7878.51,0
12/3/2003, ,-637981,644527,-6546.2,0
12/4/2003, ,-554584,560068,-5483.92,0
12/5/2003, ,-482397,489666,-7268.94,0
12/6/2003, ,-375889,383288,-7398.8,0
12/7/2003, ,-316519,322830,-6311.45,0
12/8/2003, ,-278949,285082,-6133.41,0
12/9/2003, ,-251920,259081,-7160.91,0
12/10/2003, ,-253417,262001,-8584.27,0
12/11/2003, ,-440006,3127090,-4485.95,-2682600
12/12/2003, ,-111570,626470,344776,-859676
12/13/2003, ,-111570,665912,-8592.42,-545749
12/14/2003, ,-111570,664190,-7032.24,-545588
12/15/2003, ,-111570,630267,-7839.65,-510857
12/16/2003, ,-111570,579389,-8118.36,-459700
12/17/2003, ,-111570,1349338,-9044.49,-1228720
12/18/2003, ,-111570,715621,97680.4,-701731
12/19/2003, ,-111570,530401,-8064.53,-410766
12/20/2003, ,-111570,422153,-7666.66,-302916
12/21/2003, ,-111570,353916,-7149.22,-235197
12/22/2003, ,-111570,307694,-6904.34,-189219
12/23/2003, ,-111570,274052,-9994.46,-152487
12/24/2003, ,-111570,5350050,-13629.8,-5224850
12/25/2003, ,-111570,1166883,448236,-1503550
12/26/2003, ,-111570,1057374,-10024.8,-935779
12/27/2003, ,-111570,906626,-9191.29,-785864
12/28/2003, ,-111570,758858,-10705.4,-636582
12/29/2003,476086, ,633396,-12883.2,-1096600
12/30/2003,620585, ,689382,-14288.7,-1295680
12/31/2003,620582, ,511351,9687.68,-1141620
1/1/2004, ,-365837,375950,-10112.9,0
1/2/2004, ,-354722,364334,-9611.88,0
1/3/2004, ,-943948,938394,5553.9,0
1/4/2004, ,-833737,1739676,94319.9,-1000260
1/5/2004, ,-111570,800723,170498,-859651
1/6/2004, ,-111570,558126,44873.2,-491429
1/7/2004, ,-111570,520141,-6790.22,-401781
1/8/2004, ,-111570,484988,-5297.53,-368120
1/9/2004, ,-111570,450814,-5793.83,-333450
1/10/2004, ,-111570,416878,-3966.19,-301342
1/11/2004, ,-111570,366964,-3069.33,-252324
1/12/2004, ,-111570,308304,-4402.16,-192332
1/13/2004, ,-111570,266219,-7731.46,-146917
1/14/2004, ,-111570,237100,-5743.85,-119785
1/15/2004, ,-111570,216028,-3296.82,-101161
1/16/2004, ,-111570,200048,-2883.81,-85594.1
1/17/2004, ,-111570,187268,-2983.73,-72713.9
1/18/2004, ,-111570,176575,-5805.41,-59199.4
1/19/2004, ,-111570,167709,-7950.34,-48188.2
1/20/2004, ,-111570,160384,-5560.98,-43252.4
1/21/2004, ,-111570,154007,-4685.46,-37751.1
1/22/2004, ,-111570,148181,-5013,-31598
1/23/2004, ,-111570,142871,-6471.03,-24829.7
1/24/2004, ,-111570,138086,-4289.12,-22227.1
1/25/2004, ,-111570,133704,-3763.98,-18369.4
1/26/2004, ,-111570,129620,-3539.1,-14511.2
1/27/2004, ,-111570,125722,-4771.37,-9380.38
1/28/2004, ,-111570,121985,-5877.79,-4536.86
1/29/2004, ,-111570,118465,-6550.18,-344.272
1/30/2004, ,-110162,115194,-5031.27,0
1/31/2004, ,-107481,112071,-4590.55,0
2/1/2004, ,-103377,109040,-5663.21,0
2/2/2004, ,-99477.5,106085,-6607.94,0
2/3/2004, ,-95096.7,103207,-8109.87,0
2/4/2004, ,-91290.2,100441,-9150.99,0
2/5/2004, ,-89065.4,97819.9,-8754.5,0
2/6/2004, ,-196612,315016,-7832.69,-110571
2/7/2004, ,-111570,113696,68472.3,-70598.2
2/8/2004, ,-74219,104969,-9511.24,-21238.9
2/9/2004, ,-98573.4,104292,-5718.86,0
2/10/2004, ,-161918,276867,-9091.19,-105858
2/11/2004, ,-111570,130836,31149.9,-50415.2
2/12/2004, ,-111570,121452,-9334.35,-547.302
2/13/2004, ,-111570,122611,-8497.25,-2543.6
2/14/2004, ,-111570,135299,-9753.62,-13974.8
2/15/2004, ,-99041.7,116003,-9597.16,-7364.3
2/16/2004, ,-106484,112801,-6316.8,0
2/17/2004, ,-103636,109655,-6019.62,0
2/18/2004, ,-96804.8,104216,-7411.38,0
2/19/2004, ,-89972.7,99126.6,-9153.9,0
2/20/2004, ,-84649.7,94542.7,-9893.03,0
2/21/2004, ,-200403,484329,-10159.8,-273766
2/22/2004, ,-111570,197883,69894.8,-156208
2/23/2004, ,-111570,130611,-12207.8,-6833.05
2/24/2004, ,-111570,174922,-10574.7,-52777.6
2/25/2004, ,-111570,132394,-10803.2,-10020.4
2/26/2004, ,-111570,130759,-9335.87,-9853.08
2/27/2004, ,-111570,179473,-10656.5,-57246.5
2/28/2004, ,-111570,747522,-11124.4,-624827
3/1/2004, ,-111570,1468881,85629.9,-1442940
3/2/2004, ,-111570,2681551,130402,-2700380
3/3/2004, ,-111570,3838890,187261,-3914580
3/4/2004, ,-111570,5142760,218108,-5249300
3/5/2004, ,-111570,5403970,261470,-5553870
3/6/2004, ,-111570,5988250,232598,-6109280
3/7/2004, ,-111570,3122996,147795,-3159220
3/8/2004, ,-111570,2181113,-8178.31,-2061360
3/9/2004,143909, ,1149974,29203.6,-1323090
3/10/2004,496101, ,799702,-17.5628,-1295780
3/11/2004,502615, ,795796,-2860.94,-1295550
3/12/2004,834532, ,461752,-434.446,-1295850
3/13/2004,978809, ,332059,-15018.3,-1295850
3/14/2004,1048456, ,257882,-10787.7,-1295550
3/15/2004,1039106, ,268839,-12395.4,-1295550
3/16/2004,412985, ,234096,-3332.3,-643749
3/17/2004,349362, ,206854,-13589.8,-542627
3/18/2004,370772, ,193977,-10752.3,-553997
3/19/2004,370159, ,180822,-11982.9,-538998
3/20/2004,336156, ,223087,-12746,-546497
3/21/2004,338708, ,185366,18552.5,-542627
3/22/2004,392751, ,159860,-13612.8,-538998
3/23/2004,520167, ,152117,-9665.34,-662619
3/24/2004, ,-601687,1156342,-12028.7,-542627
3/25/2004, ,-991708,1370494,163841,-542627
3/26/2004, ,-84084.6,648769,-14558.2,-550126
3/27/2004, ,-105686,673819,-29134.9,-538998
3/28/2004,65896.1, ,487040,-13938.8,-538998
3/29/2004,146379, ,428474,-28355.5,-546497
3/30/2004,184601, ,376833,-26065,-535369
3/31/2004, ,-367895,936304,-25782.6,-542627
4/1/2004, ,-2059340,2402797,53295.7,-396749
4/2/2004, ,-649169,879679,132612,-363122
4/3/2004, ,-239862,613523,-18038,-355622
4/4/2004, ,-119447,507499,-24929.9,-363122
4/5/2004,17516.3, ,386359,-10755.1,-393120
4/6/2004, ,-319487,333400,-13913.2,0
4/7/2004,288412, ,310442,-14859.7,-583995
4/8/2004,379760, ,267582,-18592,-628750
4/9/2004,253521, ,211750,-23524.4,-441746
4/10/2004,261434, ,179416,-29102.8,-411748
4/11/2004,268993, ,158297,-26670,-400620
4/12/2004, ,-300143,713652,-27888.2,-385620
4/13/2004, ,-1725930,1959297,159753,-393120
4/14/2004,261155, ,882849,151665,-1295670
4/15/2004,574368, ,739217,-17907.4,-1295680
4/16/2004,174529, ,647404,-28435.8,-793498
4/17/2004,277826, ,538878,-30705.9,-785998
4/18/2004,271272, ,557515,-42788.5,-785998
4/19/2004,205015, ,433283,-35675.1,-602623
4/20/2004,452819, ,305218,-46792.8,-711245
4/21/2004,563981, ,238968,-43078.5,-759871
4/22/2004,689971, ,262972,-32195.2,-920748
4/23/2004, ,-254463,635024,-9939.31,-370621
4/24/2004,268715, ,341127,97531.8,-707374
4/25/2004, ,-515182,602508,-34829.1,-52496.6
4/26/2004, ,-1774550,2118055,45745.6,-389249
4/27/2004,40285.7, ,1071277,184302,-1295860
4/28/2004,435112, ,897671,-37074.8,-1295710
4/29/2004,621475, ,704303,-30149.7,-1295630
4/30/2004,281122, ,522885,-44135.8,-759871
5/1/2004,406055, ,369045,-52726.4,-722373
5/2/2004, ,-174804,959177,-54500.4,-729873
5/3/2004, ,-323041,925162,116623,-718744
5/4/2004,164782, ,536996,9467.04,-711245
5/5/2004,137831, ,624024,-31982.7,-729873
5/6/2004, ,-396205,427305,21396.5,-52496.6
5/7/2004,209375, ,361118,-35124.1,-535369
5/8/2004,259539, ,304772,-32813.7,-531498
5/9/2004,254882, ,311850,-27734.1,-538998
5/10/2004,5298.34, ,541831,-15631.1,-531498
5/11/2004,167469, ,319349,41051.1,-527869
5/12/2004,180943, ,414611,-60185.4,-535369
5/13/2004,194874, ,341968,2156.22,-538998
5/14/2004,389432, ,253038,-50974.6,-591494
5/15/2004,328995, ,272982,-59351.2,-542627
5/16/2004,370038, ,208172,-35583.7,-542627
5/17/2004,269847, ,180982,-54080.3,-396749
5/18/2004,64777.1, ,356235,-54261.4,-366751
5/19/2004,119001, ,216100,28020.2,-363122
5/20/2004,147029, ,255785,-54690.9,-348123
5/21/2004, ,-7686,223321,-17260.5,-198374
5/22/2004,86611.6, ,179283,-45021.7,-220873
5/23/2004, ,-109388,363270,-59136.3,-194746
5/24/2004, ,-693526,757762,-4240.02,-59996.2
5/25/2004, ,-186440,480459,31604.8,-325624
5/26/2004, ,-2006000,2253115,-52367.7,-194746
5/27/2004, ,-910699,1607875,201073,-898249
5/28/2004,28927.3, ,1278645,-11935.4,-1295640
5/29/2004,73497.9, ,836299,-15176.7,-894620
5/30/2004,303939, ,603353,-38799,-868493
5/31/2004, ,-86678.6,836966,-42913.3,-707374
6/1/2004, ,-659603,1250772,37581.4,-628750
6/2/2004, ,-569303,1051868,52804.4,-535369
6/3/2004,433805, ,612334,-13140.6,-1033000
6/4/2004,248697, ,397780,-47483.7,-598994
6/5/2004,351352, ,422636,-47743.9,-726244
6/6/2004,397100, ,317229,-6954.94,-707374
6/7/2004,175896, ,251181,-41456.4,-385620
6/8/2004,216145, ,200267,-57161.3,-359251
6/9/2004,47824.2, ,212580,-65658.2,-194746
6/10/2004,68502.8, ,155390,-36647,-187246
6/11/2004, ,-44122.2,136979,-56969.7,-35887
6/12/2004, ,-54236.9,125678,-51256.9,-20184.3
6/13/2004, ,-53395.9,121290,-49017.5,-18876.2
6/14/2004, ,-75099.4,122322,-47222.2,0
6/15/2004,476817, ,107870,-49318.7,-535369
6/16/2004,523927, ,103119,-69420.9,-557626
6/17/2004, ,-41199.4,536944,-65368.9,-430376
6/18/2004, ,-90607.9,226435,174798,-310625
6/19/2004,228491, ,178594,-55333.4,-351752
6/20/2004,228998, ,175356,-56231,-348123
6/21/2004, ,-117474,166897,-49422.9,0
6/22/2004,357887, ,240691,-52080.6,-546497
6/23/2004,296912, ,171667,-15703.9,-452874
6/24/2004,267063, ,153539,-61350.6,-359251
6/25/2004,223808, ,198538,-63094.5,-359251
6/26/2004, ,-52866.2,477094,-16350.7,-407877
6/27/2004,110019, ,242901,47699.4,-400620
6/28/2004,53005.4, ,354390,-51772.8,-355622
6/29/2004,172581, ,244889,-20721.8,-396749
6/30/2004,215769, ,199563,-56080.2,-359251
7/1/2004,228890, ,241806,-58948.3,-411748
7/2/2004,219750, ,180066,-36694,-363122
7/3/2004,273692, ,148478,-62919.4,-359251
7/4/2004,300812, ,118606,-60167.3,-359251
7/5/2004,68319.2, ,353637,-66333.8,-355622
7/6/2004,155274, ,172258,69216.7,-396749
7/7/2004,50681, ,407358,-61290.2,-396749
7/8/2004,140425, ,228365,27958.8,-396749
7/9/2004,276892, ,182044,-65816,-393120
7/10/2004,301678, ,153824,-58753.6,-396749
7/11/2004,325220, ,131797,-60269,-396749
7/12/2004,172463, ,253509,-62849.9,-363122
7/13/2004,84183.6, ,239458,46979.8,-370621
7/14/2004, ,-1745180,2127452,-15523.1,-366751
7/15/2004, ,-988582,1261955,276753,-550126
7/16/2004, ,-437206,1020663,11665.9,-595123
7/17/2004, ,-1122360,1670400,-1543.22,-546497
7/18/2004, ,-1029680,1513305,62867.5,-546497
7/19/2004, ,-696432,1214692,17108.8,-535369
7/20/2004, ,-11748.2,705439,10054.5,-703745
7/21/2004,332269, ,457277,-63302,-726244
7/22/2004,401937, ,385828,-65392.1,-722373
7/23/2004, ,-2780480,4415170,-44558.3,-1590130
7/24/2004,221311, ,1739304,479495,-2440110
7/25/2004,221311, ,962781,-59222,-1124870
7/26/2004,221311, ,633432,-56682.5,-798061
7/27/2004,221311, ,3347250,-40060.8,-3528500
7/28/2004,221311, ,2677593,359115,-3258020
7/29/2004,221311, ,1419011,39336.7,-1679660
7/30/2004,531168, ,847708,-60098.9,-1318780
7/31/2004,604294, ,772636,-62238.4,-1314690
8/1/2004,468067, ,819795,7846.97,-1295710
8/2/2004,775676, ,493717,26400.2,-1295790
8/3/2004,779111, ,355183,-63797.5,-1070500
8/4/2004,453761, ,626208,-65598,-1014370
8/5/2004,317108, ,429441,73075.6,-819625
8/6/2004,513994, ,304156,-28281.4,-789869
8/7/2004,911840, ,285582,-44673.3,-1152750
8/8/2004,897104, ,229471,-33580.4,-1092990
8/9/2004,952257, ,193590,-49223.4,-1096620
8/10/2004,936360, ,215699,-55435.9,-1096620
8/11/2004, ,-131484,262546,-22440,-108622
8/12/2004, ,-4910900,6583180,-9114.65,-1663170
8/13/2004,221311, ,4225182,715754,-5162250
8/14/2004,221311, ,1990041,99229.9,-2310580
8/15/2004,221311, ,1930788,-53969.5,-2098130
8/16/2004,221311, ,2003879,14138.1,-2239330
8/17/2004,221311, ,1216805,30504,-1468620
8/18/2004,221311, ,769439,-50994.8,-939756
8/19/2004,221311, ,544806,-55032.9,-711085
8/20/2004,221311, ,999195,-44306.8,-1176200
8/21/2004,221311, ,1982665,124095,-2328070
8/22/2004,221311, ,946150,183457,-1350920
8/23/2004,565342, ,665083,-45564.1,-1184860
8/24/2004,741673, ,471856,-51133.8,-1162400
8/25/2004,795721, ,371746,-51974.1,-1115490
8/26/2004,886871, ,310686,-52065.7,-1145490
8/27/2004,768699, ,267736,-52062,-984372
8/28/2004,327643, ,281042,-58559.3,-550126
8/29/2004,601241, ,211908,-27150.5,-785998
8/30/2004, ,-2916700,3334870,-57118.2,-361053
8/31/2004,221311, ,1752326,487453,-2461090
9/1/2004,221311, ,1136236,11501.7,-1369050
9/2/2004,226846, ,909162,-46884,-1089120
9/3/2004,436060, ,702359,-45424.5,-1092990
9/4/2004,585000, ,556924,-48929.3,-1092990
9/5/2004,695696, ,448274,-50975.6,-1092990
9/6/2004,760223, ,365910,-40638.2,-1085500
9/7/2004,872016, ,260350,-43242.3,-1089120
9/8/2004, ,-2026660,2889190,-49245,-813285
9/9/2004,221311, ,3790405,416277,-4427990
9/10/2004,221311, ,1658544,158493,-2038350
9/11/2004,221311, ,1184943,-44067.6,-1362190
9/12/2004,336721, ,851774,-43004.2,-1145490
9/13/2004,562296, ,632059,-45235.2,-1149120
9/14/2004,700010, ,491443,-45961.5,-1145490
9/15/2004,296108, ,409678,-43167.1,-662619
9/16/2004,452095, ,294285,-35135.1,-711245
9/17/2004, ,-1019360,2391978,-44898.3,-1327720
9/18/2004,221311, ,13500060,394165,-14115500
9/19/2004,221311, ,3274847,898819,-4394980
9/20/2004,221311, ,2144323,-30637,-2335000
9/21/2004,221311, ,1404190,-32139.1,-1593360
9/22/2004,221311, ,965461,-39810.3,-1146960
9/23/2004,657216, ,705752,-41269.4,-1321700
9/24/2004,811659, ,546138,-42943.3,-1314850
9/25/2004,927020, ,410852,-42194.6,-1295680
9/26/2004,1034937, ,301026,-40254.5,-1295710
9/27/2004,1078873, ,256451,-39615.4,-1295710
9/28/2004, ,-3181840,4927990,-36604.4,-1709550
9/29/2004,221311, ,1500910,621205,-2343430
9/30/2004,221311, ,2043147,-29559.8,-2234900
10/1/2004,221311, ,1399885,41540.8,-1662740
10/2/2004, ,-111570,1512167,-33488.6,-1367110
10/3/2004,230121, ,1072156,21090.6,-1323370
10/4/2004, ,-453262,813477,-29943.8,-330271
10/5/2004, ,-111570,645035,-31313.2,-502152
10/6/2004, ,-111570,438903,-22821.7,-304511
10/7/2004, ,-111570,340387,-24955.2,-203862
10/8/2004,896537, ,283108,-32230,-1147410
10/9/2004,1081371, ,250430,-36122.9,-1295680
10/10/2004,1102043, ,228409,-34693.9,-1295760
10/11/2004, ,-187212,213884,-26672.7,0
10/12/2004, ,-178299,203030,-24730.8,0
10/13/2004, ,-170293,194127,-23834,0
10/14/2004,614002, ,195882,-27514.5,-782369
10/15/2004,815066, ,497222,-16610.4,-1295680
10/16/2004,806487, ,369546,119645,-1295680
10/17/2004,995357, ,285856,14504.9,-1295720
10/18/2004, ,-650724,670957,-20233.1,0
10/19/2004, ,-2748540,2681964,66574.7,0
